Entity;Week;Day;Flights;Flights (7-day moving average);Day 2019;Flights 2019 (Reference);% vs 2019 (Daily);% vs 2019 (7-day Moving Average);Day Previous Year;Flights Previous Year
Albania;53;2021-01-01;19;29,7;2019-01-04;77;-75,32%;-61,48%;2020-01-03;80
Albania;53;2021-01-02;36;31,1;2019-01-05;70;-48,57%;-59,33%;2020-01-04;71
Albania;53;2021-01-03;51;32,3;2019-01-06;79;-35,44%;-57,03%;2020-01-05;91
Albania;1;2021-01-04;45;32,1;2019-01-07;76;-40,79%;-56,98%;2020-01-06;82
Albania;1;2021-01-05;28;33,1;2019-01-08;62;-54,84%;-54,95%;2020-01-07;81
Albania;1;2021-01-06;34;33,7;2019-01-09;75;-54,67%;-54,79%;2020-01-08;76
Albania;1;2021-01-07;39;36;2019-01-10;67;-41,79%;-50,20%;2020-01-09;80
Albania;1;2021-01-08;48;40,1;2019-01-11;71;-32,39%;-43,80%;2020-01-10;73
Albania;1;2021-01-09;32;39,6;2019-01-12;66;-51,52%;-44,15%;2020-01-11;67
Albania;1;2021-01-10;43;38,4;2019-01-13;75;-42,67%;-45,33%;2020-01-12;63
Albania;2;2021-01-11;45;38,4;2019-01-14;63;-28,57%;-43,84%;2020-01-13;72
Albania;2;2021-01-12;24;37,9;2019-01-15;56;-57,14%;-43,97%;2020-01-14;57
Albania;2;2021-01-13;33;37,7;2019-01-16;52;-36,54%;-41,33%;2020-01-15;58
Albania;2;2021-01-14;26;35,9;2019-01-17;55;-52,73%;-42,69%;2020-01-16;70
Albania;2;2021-01-15;60;37,6;2019-01-18;63;-4,76%;-38,84%;2020-01-17;67
Albania;2;2021-01-16;23;36,3;2019-01-19;54;-57,41%;-39,23%;2020-01-18;50
Albania;2;2021-01-17;30;34,4;2019-01-20;65;-53,85%;-40,93%;2020-01-19;52
Albania;3;2021-01-18;38;33,4;2019-01-21;67;-43,28%;-43,20%;2020-01-20;74
Albania;3;2021-01-19;21;33;2019-01-22;56;-62,50%;-43,93%;2020-01-21;56
Albania;3;2021-01-20;28;32,3;2019-01-23;56;-50,00%;-45,67%;2020-01-22;55
Albania;3;2021-01-21;33;33,3;2019-01-24;57;-42,11%;-44,26%;2020-01-23;69
Albania;3;2021-01-22;34;29,6;2019-01-25;64;-46,88%;-50,60%;2020-01-24;62
Albania;3;2021-01-23;27;30,1;2019-01-26;54;-50,00%;-49,64%;2020-01-25;54
Albania;3;2021-01-24;32;30,4;2019-01-27;65;-50,77%;-49,16%;2020-01-26;60
Albania;4;2021-01-25;39;30,6;2019-01-28;64;-39,06%;-48,56%;2020-01-27;67
Albania;4;2021-01-26;22;30,7;2019-01-29;53;-58,49%;-47,94%;2020-01-28;54
Albania;4;2021-01-27;22;29,9;2019-01-30;56;-60,71%;-49,39%;2020-01-29;50
Albania;4;2021-01-28;28;29,1;2019-01-31;58;-51,72%;-50,72%;2020-01-30;64
Albania;4;2021-01-29;38;29,7;2019-02-01;62;-38,71%;-49,51%;2020-01-31;65
Albania;4;2021-01-30;28;29,9;2019-02-02;54;-48,15%;-49,27%;2020-02-01;50
Albania;4;2021-01-31;38;30,7;2019-02-03;66;-42,42%;-47,94%;2020-02-02;58
Albania;5;2021-02-01;33;29,9;2019-02-04;62;-46,77%;-49,15%;2020-02-03;65
Albania;5;2021-02-02;25;30,3;2019-02-05;57;-56,14%;-48,92%;2020-02-04;50
Albania;5;2021-02-03;38;32,6;2019-02-06;57;-33,33%;-45,19%;2020-02-05;49
Albania;5;2021-02-04;36;33,7;2019-02-07;61;-40,98%;-43,68%;2020-02-06;70
Albania;5;2021-02-05;43;34,4;2019-02-08;66;-34,85%;-43,03%;2020-02-07;63
Albania;5;2021-02-06;27;34,3;2019-02-09;54;-50,00%;-43,26%;2020-02-08;55
Albania;5;2021-02-07;41;34,7;2019-02-10;64;-35,94%;-42,28%;2020-02-09;58
Albania;6;2021-02-08;37;35,3;2019-02-11;65;-43,08%;-41,75%;2020-02-10;68
Albania;6;2021-02-09;17;34,1;2019-02-12;58;-70,69%;-43,76%;2020-02-11;54
Albania;6;2021-02-10;25;32,3;2019-02-13;54;-53,70%;-46,45%;2020-02-12;57
Albania;6;2021-02-11;41;33;2019-02-14;64;-35,94%;-45,65%;2020-02-13;70
Albania;6;2021-02-12;56;34,9;2019-02-15;70;-20,00%;-43,12%;2020-02-14;70
Albania;6;2021-02-13;25;34,6;2019-02-16;53;-52,83%;-43,46%;2020-02-15;54
Albania;6;2021-02-14;40;34,4;2019-02-17;67;-40,30%;-44,08%;2020-02-16;63
Albania;7;2021-02-15;40;34,9;2019-02-18;67;-40,30%;-43,65%;2020-02-17;67
Albania;7;2021-02-16;13;34,3;2019-02-19;52;-75,00%;-43,79%;2020-02-18;53
Albania;7;2021-02-17;28;34,7;2019-02-20;51;-45,10%;-42,69%;2020-02-19;58
Albania;7;2021-02-18;30;33,1;2019-02-21;57;-47,37%;-44,36%;2020-02-20;72
Albania;7;2021-02-19;50;32,3;2019-02-22;66;-24,24%;-45,28%;2020-02-21;65
Albania;7;2021-02-20;32;33,3;2019-02-23;54;-40,74%;-43,72%;2020-02-22;52
Albania;7;2021-02-21;40;33,3;2019-02-24;65;-38,46%;-43,45%;2020-02-23;61
Albania;8;2021-02-22;37;32,9;2019-02-25;65;-43,08%;-43,90%;2020-02-24;70
Albania;8;2021-02-23;22;34,1;2019-02-26;52;-57,69%;-41,71%;2020-02-25;53
